condition,mean,std,n,se,ci,ci_low,ci_high,alpha,scope,p_adj,task_index,folder,task_label,var,outcome
Original,0.8390866829884271,0.01578333153546822,25,0.0031566663070936437,0.0061870659619035415,0.8328996170265236,0.8452737489503307,0.0,Original,,0,immediate_recall,"Immediate
recall",mattr,"Lexical
richness"
-0.6Alpha_2000Neurons,0.8377756893348912,0.014392138648348705,25,0.002878427729669741,0.005641718350152693,0.8321339709847385,0.8434174076850439,-0.6,2000,0.8929165433295745,0,immediate_recall,"Immediate
recall",mattr,"Lexical
richness"
-0.6Alpha_10000Neurons,0.8359237555039977,0.012024947619205913,25,0.002404989523841183,0.004713779466728719,0.831209976037269,0.8406375349707264,-0.6,10000,0.8929165433295745,0,immediate_recall,"Immediate
recall",mattr,"Lexical
richness"
-0.6Alpha_AllSigNeurons,0.8377379638747061,0.011037859592319196,25,0.002207571918463839,0.004326840960189125,0.833411122914517,0.8420648048348952,-0.6,AllSig,0.9395146359068732,0,immediate_recall,"Immediate
recall",mattr,"Lexical
richness"
0.2Alpha_2000Neurons,0.8390875117516096,0.013877937615854563,25,0.0027755875231709128,0.005440151545414989,0.8336473602061946,0.8445276632970246,0.2,2000,0.9395146359068732,0,immediate_recall,"Immediate
recall",mattr,"Lexical
richness"
0.2Alpha_10000Neurons,0.8467454062789878,0.017878357147169996,25,0.003575671429433999,0.007008316001690638,0.8397370902772971,0.8537537222806784,0.2,10000,0.4244752423059852,0,immediate_recall,"Immediate
recall",mattr,"Lexical
richness"
0.2Alpha_AllSigNeurons,0.8535194473631499,0.014231062290698189,25,0.0028462124581396376,0.00557857641795369,0.8479408709451962,0.8590980237811036,0.2,AllSig,0.0099180609290374,0,immediate_recall,"Immediate
recall",mattr,"Lexical
richness"
0.6Alpha_2000Neurons,0.8465722605129876,0.01716790329689478,25,0.0034335806593789563,0.0067298180923827545,0.8398424424206049,0.8533020786053703,0.6,2000,0.51071719755682,0,immediate_recall,"Immediate
recall",mattr,"Lexical
richness"
0.6Alpha_10000Neurons,0.8432430478916264,0.014315550608425157,25,0.0028631101216850313,0.005611695838502661,0.8376313520531238,0.848854743730129,0.6,10000,0.8929165433295745,0,immediate_recall,"Immediate
recall",mattr,"Lexical
richness"
0.6Alpha_AllSigNeurons,0.8370930853260249,0.019915273450304347,25,0.003983054690060869,0.007806787192519303,0.8292862981335056,0.8448998725185441,0.6,AllSig,0.8929165433295745,0,immediate_recall,"Immediate
recall",mattr,"Lexical
richness"
Original,0.838095396546081,0.015400109887536964,25,0.003080021977507393,0.00603684307591449,0.8320585534701666,0.8441322396219955,0.0,Original,,1,delayed_recall,"Delayed
recall",mattr,"Lexical
richness"
-0.6Alpha_2000Neurons,0.8387622867408756,0.013789246767763321,25,0.0027578493535526643,0.005405384732963222,0.8333569020079123,0.8441676714738389,-0.6,2000,0.9402285751933616,1,delayed_recall,"Delayed
recall",mattr,"Lexical
richness"
-0.6Alpha_10000Neurons,0.8349359201009989,0.011874653205210096,25,0.0023749306410420193,0.004654864056442358,0.8302810560445566,0.8395907841574413,-0.6,10000,0.9402285751933616,1,delayed_recall,"Delayed
recall",mattr,"Lexical
richness"
-0.6Alpha_AllSigNeurons,0.8378713296484479,0.011086383685851535,25,0.0022172767371703072,0.004345862404853802,0.8335254672435941,0.8422171920533017,-0.6,AllSig,0.9580995683821724,1,delayed_recall,"Delayed
recall",mattr,"Lexical
richness"
0.2Alpha_2000Neurons,0.8393213370427162,0.011825469792075178,25,0.0023650939584150357,0.00463558415849347,0.8346857528842226,0.8439569212012097,0.2,2000,0.9402285751933616,1,delayed_recall,"Delayed
recall",mattr,"Lexical
richness"
0.2Alpha_10000Neurons,0.8469074694779636,0.019542884850329567,25,0.003908576970065913,0.00766081086132919,0.8392466586166344,0.8545682803392928,0.2,10000,0.2751521721652028,1,delayed_recall,"Delayed
recall",mattr,"Lexical
richness"
